round,dict_file,grammar_file,valid_endpoint_count,endpoint_total,endpoint_pass_rate,final_spec_coverage,rendered_requests_valid_status,constraint_count,applied_constraint_count,error_summary_count
0,dict_round0.json,grammar_round0.py,11,36,0.3056,11 / 36,11 / 36,31,2,30
1,dict_round1.json,grammar_round1.py,13,36,0.3611,13 / 36,13 / 36,30,2,28
2,dict_round2.json,grammar_round2.py,13,36,0.3611,13 / 36,13 / 36,30,3,28
