"mode","run","duration_sec","time_budget","tasks","completed","failed","valid","coverage","rendered_valid","sent","errors","bugs","run_dir"
"sequential_fuzzlean","sequential-fuzzlean-20260615-155655","75.635","0.02h","1","1","0","1","1 / 36","1 / 5","32","182","0","C:\Users\RLJ\Desktop\study\restler_bin\sequential_runs\sequential-fuzzlean-20260615-155655"
"parallel_fuzzlean","parallel-20260615-155820","88.217","0.005h_per_worker","8","8","0","2","2 valid endpoints across workers","worker-summed","39","475","0","C:\Users\RLJ\Desktop\study\restler_bin\parallel_runs\parallel-20260615-155820"
