variant,status,duration_sec,valid_endpoint_count,endpoint_total,constraint_count,applied_constraint_count,prtt_percent,bug_bucket_count,dependency_edge_count,task_package_count,parallel_completed_tasks,parallel_failed_tasks,variant_dir
semantic_parallel,dry_run,0,,,,,,,,,,,C:\Users\RLJ\Desktop\study\restler_bin\.\experiments\experiment-20260615-145528\semantic_parallel
parallel_no_resource_seed,dry_run,0,,,,,,,,,,,C:\Users\RLJ\Desktop\study\restler_bin\.\experiments\experiment-20260615-145528\parallel_no_resource_seed
