round,dict_file,grammar_file,valid_endpoint_count,endpoint_total,endpoint_pass_rate,endpoint_pass_percent,rendered_requests_valid_status,request_pass_rate,request_pass_percent,final_spec_coverage,rendered_requests,main_driver_requests,error_summary_count,constraint_count,applied_constraint_count,dependency_edges,task_packages,stats_path,testing_summary_path,success_summary_path,speccov_path,semantic_constraints_path,applied_constraints_path
round0,dict_round0.json,grammar_round0.py,11,36,0.3056,30.56,11 / 36,0.3056,30.56,11 / 36,36 / 36,199,30,32,4,156,8,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round0\stats.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round0\testing_summary.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round0\success_summary.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round0\speccov.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round0\semantic_constraints.jsonl,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round0\applied_constraints.jsonl
round1,dict_round1.json,grammar_round1.py,13,36,0.3611,36.11,13 / 36,0.3611,36.11,13 / 36,36 / 36,221,28,29,4,156,8,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round1\stats.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round1\testing_summary.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round1\success_summary.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round1\speccov.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round1\semantic_constraints.jsonl,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round1\applied_constraints.jsonl
round2,dict_round2.json,grammar_round2.py,13,36,0.3611,36.11,13 / 36,0.3611,36.11,13 / 36,36 / 36,221,28,30,4,158,8,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round2\stats.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round2\testing_summary.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round2\success_summary.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round2\speccov.json,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round2\semantic_constraints.jsonl,C:\Users\RLJ\Desktop\study\restler_bin\rounds\round2\applied_constraints.jsonl
